time,open,high,low,close,tick_volume,spread,real_volume
2026-08-10 00:00:00,157.688,157.688,157.663,157.688,3,57,0
2026-08-10 00:05:00,157.688,157.696,157.67,157.692,15,33,0
2026-08-10 00:10:00,157.692,157.692,157.688,157.689,9,35,0
2026-08-10 00:15:00,157.689,157.689,157.687,157.689,7,54,0
2026-08-10 00:20:00,157.689,157.69,157.541,157.669,31,53,0
2026-08-10 00:25:00,157.669,157.676,157.669,157.676,18,66,0
2026-08-10 00:30:00,157.676,157.678,157.67,157.678,55,61,0
2026-08-10 00:35:00,157.677,157.682,157.674,157.678,28,60,0
2026-08-10 00:40:00,157.68,157.681,157.675,157.675,51,61,0
2026-08-10 00:45:00,157.674,157.679,157.674,157.677,57,60,0
2026-08-10 00:50:00,157.676,157.677,157.67,157.672,24,63,0
2026-08-10 00:55:00,157.672,157.679,157.671,157.679,17,59,0
2026-08-10 01:00:00,157.679,157.827,157.679,157.799,182,17,0
2026-08-10 01:05:00,157.8,157.83,157.8,157.821,93,29,0
2026-08-10 01:10:00,157.821,157.881,157.82,157.844,89,25,0
2026-08-10 01:15:00,157.843,157.862,157.831,157.859,139,25,0
2026-08-10 01:20:00,157.859,157.871,157.851,157.862,58,16,0
2026-08-10 01:25:00,157.862,157.887,157.857,157.884,106,18,0
2026-08-10 01:30:00,157.884,157.886,157.868,157.871,90,23,0
2026-08-10 01:35:00,157.873,157.899,157.867,157.87,130,20,0
2026-08-10 01:40:00,157.872,157.924,157.868,157.913,133,10,0
2026-08-10 01:45:00,157.913,157.927,157.895,157.927,176,4,0
2026-08-10 01:50:00,157.928,157.942,157.912,157.936,203,4,0
2026-08-10 01:55:00,157.933,157.935,157.909,157.923,89,4,0
2026-08-10 02:00:00,157.924,157.929,157.896,157.898,135,4,0
2026-08-10 02:05:00,157.899,157.902,157.847,157.887,186,4,0
2026-08-10 02:10:00,157.887,157.904,157.849,157.861,91,4,0
2026-08-10 02:15:00,157.861,157.88,157.858,157.876,137,4,0
2026-08-10 02:20:00,157.876,157.888,157.874,157.886,94,4,0
2026-08-10 02:25:00,157.886,157.886,157.825,157.84,215,4,0
2026-08-10 02:30:00,157.839,157.874,157.837,157.85,142,4,0
2026-08-10 02:35:00,157.85,157.885,157.841,157.874,149,4,0
2026-08-10 02:40:00,157.874,157.889,157.862,157.887,121,4,0
2026-08-10 02:45:00,157.887,157.908,157.885,157.899,208,4,0
2026-08-10 02:50:00,157.899,157.899,157.861,157.876,249,4,0
2026-08-10 02:55:00,157.876,157.912,157.874,157.907,179,4,0
2026-08-10 03:00:00,157.907,157.91,157.838,157.886,692,3,0
2026-08-10 03:05:00,157.886,157.894,157.861,157.888,430,3,0
2026-08-10 03:10:00,157.889,157.904,157.85,157.858,434,3,0
2026-08-10 03:15:00,157.859,157.909,157.858,157.903,473,3,0
2026-08-10 03:20:00,157.902,157.937,157.889,157.901,340,3,0
2026-08-10 03:25:00,157.901,157.926,157.9,157.919,345,3,0
2026-08-10 03:30:00,157.918,157.938,157.914,157.917,271,3,0
2026-08-10 03:35:00,157.916,157.936,157.91,157.93,295,3,0
2026-08-10 03:40:00,157.929,157.942,157.915,157.936,212,3,0
2026-08-10 03:45:00,157.937,157.937,157.908,157.91,266,3,0
2026-08-10 03:50:00,157.909,157.96,157.887,157.921,727,3,0
2026-08-10 03:55:00,157.92,157.959,157.917,157.945,576,3,0
2026-08-10 04:00:00,157.946,158.142,157.929,158.08,857,3,0
2026-08-10 04:05:00,158.081,158.084,158.036,158.049,596,3,0
2026-08-10 04:10:00,158.049,158.082,158.043,158.056,466,3,0
2026-08-10 04:15:00,158.055,158.089,158.018,158.088,519,3,0
2026-08-10 04:20:00,158.088,158.123,158.085,158.11,469,3,0
2026-08-10 04:25:00,158.11,158.12,158.095,158.11,452,3,0
2026-08-10 04:30:00,158.11,158.168,158.109,158.138,530,3,0
2026-08-10 04:35:00,158.138,158.201,158.134,158.185,585,3,0
2026-08-10 04:40:00,158.186,158.227,158.182,158.203,459,3,0
2026-08-10 04:45:00,158.203,158.211,158.167,158.179,510,3,0
2026-08-10 04:50:00,158.179,158.273,158.178,158.271,527,3,0
2026-08-10 04:55:00,158.271,158.315,158.235,158.273,796,3,0
2026-08-10 05:00:00,158.272,158.278,158.234,158.265,487,3,0
2026-08-10 05:05:00,158.265,158.274,158.248,158.271,309,3,0
2026-08-10 05:10:00,158.272,158.304,158.27,158.286,330,3,0
2026-08-10 05:15:00,158.286,158.295,158.264,158.271,231,3,0
2026-08-10 05:20:00,158.272,158.292,158.27,158.273,287,3,0
2026-08-10 05:25:00,158.273,158.282,158.245,158.249,280,3,0
2026-08-10 05:30:00,158.249,158.262,158.216,158.224,264,3,0
2026-08-10 05:35:00,158.224,158.259,158.22,158.256,151,3,0
2026-08-10 05:40:00,158.256,158.267,158.249,158.263,234,3,0
2026-08-10 05:45:00,158.263,158.264,158.244,158.25,147,3,0
2026-08-10 05:50:00,158.245,158.252,158.237,158.241,192,3,0
2026-08-10 05:55:00,158.241,158.262,158.224,158.227,242,3,0
2026-08-10 06:00:00,158.228,158.233,158.189,158.21,403,3,0
2026-08-10 06:05:00,158.21,158.226,158.2,158.209,262,3,0
2026-08-10 06:10:00,158.209,158.214,158.181,158.196,260,3,0
2026-08-10 06:15:00,158.197,158.205,158.173,158.186,312,3,0
2026-08-10 06:20:00,158.187,158.187,158.148,158.171,436,3,0
2026-08-10 06:25:00,158.171,158.175,158.159,158.16,276,3,0
