time,open,high,low,close,tick_volume,spread,real_volume
2026-07-06 00:00:00,161.25,161.273,161.25,161.267,5,84,0
2026-07-06 00:05:00,161.262,161.267,161.254,161.264,9,79,0
2026-07-06 00:10:00,161.265,161.265,161.264,161.264,4,75,0
2026-07-06 00:15:00,161.264,161.264,161.259,161.263,5,89,0
2026-07-06 00:20:00,161.263,161.27,161.263,161.27,8,79,0
2026-07-06 00:25:00,161.27,161.27,161.27,161.27,4,80,0
2026-07-06 00:30:00,161.27,161.27,161.27,161.27,5,83,0
2026-07-06 00:35:00,161.27,161.27,161.253,161.268,11,70,0
2026-07-06 00:40:00,161.268,161.271,161.268,161.271,8,73,0
2026-07-06 00:45:00,161.271,161.273,161.271,161.273,6,74,0
2026-07-06 00:50:00,161.273,161.273,161.258,161.258,8,91,0
2026-07-06 00:55:00,161.257,161.27,161.251,161.268,109,94,0
2026-07-06 01:00:00,161.266,161.372,161.252,161.371,254,28,0
2026-07-06 01:05:00,161.372,161.461,161.372,161.417,165,21,0
2026-07-06 01:10:00,161.418,161.431,161.39,161.397,1409,20,0
2026-07-06 01:15:00,161.398,161.402,161.387,161.392,181,21,0
2026-07-06 01:20:00,161.391,161.403,161.378,161.382,132,23,0
2026-07-06 01:25:00,161.382,161.41,161.379,161.393,107,21,0
2026-07-06 01:30:00,161.393,161.396,161.391,161.393,38,21,0
2026-07-06 01:35:00,161.393,161.402,161.381,161.396,77,20,0
2026-07-06 01:40:00,161.396,161.406,161.393,161.406,49,23,0
2026-07-06 01:45:00,161.406,161.417,161.402,161.405,45,4,0
2026-07-06 01:50:00,161.405,161.417,161.404,161.417,125,4,0
2026-07-06 01:55:00,161.418,161.42,161.412,161.417,86,4,0
2026-07-06 02:00:00,161.417,161.474,161.415,161.466,133,4,0
2026-07-06 02:05:00,161.467,161.471,161.447,161.467,129,4,0
2026-07-06 02:10:00,161.467,161.47,161.454,161.467,189,4,0
2026-07-06 02:15:00,161.467,161.494,161.465,161.492,130,4,0
2026-07-06 02:20:00,161.492,161.499,161.478,161.494,113,4,0
2026-07-06 02:25:00,161.495,161.498,161.451,161.472,228,4,0
2026-07-06 02:30:00,161.472,161.482,161.457,161.461,179,4,0
2026-07-06 02:35:00,161.461,161.483,161.456,161.473,128,4,0
2026-07-06 02:40:00,161.472,161.473,161.455,161.458,121,4,0
2026-07-06 02:45:00,161.458,161.458,161.415,161.434,336,4,0
2026-07-06 02:50:00,161.433,161.476,161.433,161.471,184,4,0
2026-07-06 02:55:00,161.472,161.476,161.445,161.456,228,4,0
2026-07-06 03:00:00,161.458,161.538,161.458,161.535,648,3,0
2026-07-06 03:05:00,161.535,161.587,161.524,161.584,438,3,0
2026-07-06 03:10:00,161.584,161.587,161.537,161.54,361,3,0
2026-07-06 03:15:00,161.539,161.54,161.457,161.513,711,3,0
2026-07-06 03:20:00,161.513,161.543,161.492,161.53,535,3,0
2026-07-06 03:25:00,161.53,161.543,161.497,161.499,629,3,0
2026-07-06 03:30:00,161.498,161.514,161.476,161.508,712,3,0
2026-07-06 03:35:00,161.509,161.544,161.504,161.539,463,3,0
2026-07-06 03:40:00,161.54,161.545,161.515,161.523,500,3,0
2026-07-06 03:45:00,161.523,161.606,161.517,161.577,714,3,0
2026-07-06 03:50:00,161.577,161.602,161.533,161.533,807,3,0
2026-07-06 03:55:00,161.532,161.558,161.462,161.533,686,3,0
2026-07-06 04:00:00,161.533,161.575,161.528,161.567,528,3,0
2026-07-06 04:05:00,161.567,161.58,161.534,161.562,546,3,0
2026-07-06 04:10:00,161.562,161.617,161.536,161.6,446,3,0
2026-07-06 04:15:00,161.601,161.653,161.6,161.645,530,3,0
2026-07-06 04:20:00,161.645,161.727,161.64,161.715,523,3,0
2026-07-06 04:25:00,161.716,161.772,161.712,161.769,675,3,0
2026-07-06 04:30:00,161.769,161.772,161.701,161.734,742,3,0
2026-07-06 04:35:00,161.734,161.734,161.698,161.705,485,3,0
2026-07-06 04:40:00,161.706,161.723,161.699,161.703,360,3,0
2026-07-06 04:45:00,161.704,161.759,161.704,161.759,334,3,0
2026-07-06 04:50:00,161.758,161.773,161.744,161.759,414,3,0
2026-07-06 04:55:00,161.759,161.814,161.758,161.807,576,3,0
2026-07-06 05:00:00,161.809,161.813,161.778,161.792,466,3,0
2026-07-06 05:05:00,161.793,161.839,161.789,161.833,376,3,0
